ID,Symbol,Name,Price,Last Updated,24h Change,24h %,7d %,Description,Homepage
bitcoin,btc,Bitcoin,117796.0,2025-08-15T17:43:00.584Z,41.87,0.03555,1.3994822804889409,,
ethereum,eth,Ethereum,4447.61,2025-08-15T17:43:00.585Z,-92.7652290436472,-2.04312,12.717145107823708,,
ripple,xrp,XRP,3.06,2025-08-15T17:43:02.748Z,-0.015553097491683765,-0.50535,-4.983957140790143,,
tether,usdt,Tether,1.001,2025-08-15T17:43:04.621Z,8.536e-05,0.00853,0.04832675875930094,,
binancecoin,bnb,BNB,825.66,2025-08-15T17:43:02.366Z,-14.210469156228783,-1.69198,5.079433827681974,,
solana,sol,Solana,186.07,2025-08-15T17:43:03.462Z,-8.13526095722375,-4.18905,6.287318839954621,,
usd-coin,usdc,USDC,0.999874,2025-08-15T17:43:02.665Z,6.498e-05,0.0065,0.008549787490951293,,
staked-ether,steth,Lido Staked Ether,4432.81,2025-08-15T17:43:02.494Z,-104.26604936034346,-2.29809,12.319546054720146,,
cardano,ada,Cardano,0.941735,2025-08-15T17:43:02.489Z,0.03629805,4.0089,20.46630039462834,,
dogecoin,doge,Dogecoin,0.224708,2025-08-15T17:43:02.468Z,0.00118693,0.53101,1.6539741522170706,,
tron,trx,TRON,0.351113,2025-08-15T17:43:02.394Z,-0.007276265018992534,-2.03027,3.419477558786907,,
wrapped-steth,wsteth,Wrapped stETH,5351.06,2025-08-15T17:43:02.389Z,-132.9781961040335,-2.42482,12.04962346917172,,
hyperliquid,hype,Hyperliquid,46.86,2025-08-15T17:43:02.191Z,1.82,4.03856,15.432145047424184,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,117621.0,2025-08-15T17:43:02.521Z,-233.5244552022341,-0.19815,1.1954532810799274,,
chainlink,link,Chainlink,21.76,2025-08-15T17:43:03.102Z,-0.7207996195919364,-3.20628,13.255991261450042,,
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,4765.31,2025-08-15T17:43:03.157Z,-126.91339080124453,-2.59419,12.265905292879609,,
stellar,xlm,Stellar,0.422413,2025-08-15T17:43:02.380Z,-0.000264630601924332,-0.06261,-4.445729787118259,,
sui,sui,Sui,3.68,2025-08-15T17:43:02.741Z,-0.0902613488932471,-2.39457,-1.9175200520091054,,
wrapped-eeth,weeth,Wrapped eETH,4763.44,2025-08-15T17:43:03.071Z,-99.6943546770126,-2.05,12.560479749754155,,
